partner_id,partner_name,partner_code,institution_type,state,district,matched_entity_id,matched_entity_name,match_level,confidence,match_reason
PARTNER-001,National SC/ST Hub Channelizing Agency,NSCTH-001,STATE_CHANNELIZING_AGENCY,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'National SC/ST Hub Channelizing Agency'
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),SCA-DEB3021A,STATE_CHANNELIZING_AGENCY,Andhra Pradesh,Guntur,ba2be149-4d88-4ca8-adfd-7e8581c1a14c,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),MATCH_LEVEL_2,0.98,Exact canonical name match: Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC)
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh State Financial Corporation (APSFC),SCA-0BD8207F,STATE_CHANNELIZING_AGENCY,Andhra Pradesh,NTR,5ae0e450-c7f4-489c-bd55-cea3134d64fd,Andhra Pradesh State Financial Corporation (APSFC),MATCH_LEVEL_2,0.98,Exact canonical name match: Andhra Pradesh State Financial Corporation (APSFC)
e6764f2d-689d-45e8-b546-264c1d015b2d,Assam State Development Corporation for SCs Ltd (ASCDC),SCA-0CFEBB8A,STATE_CHANNELIZING_AGENCY,Assam,Kamrup Metropolitan,ead34e2b-a9bc-43bc-a45f-e3ee904f62af,Assam State Development Corporation for SCs Ltd (ASCDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Assam State Development Corporation for SCs Ltd (ASCDC)
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),SCA-DBF590F9,STATE_CHANNELIZING_AGENCY,Bihar,Patna,d9c1f96a-5d88-4656-932f-b9eee6e0570a,Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC)
073c0a06-889f-4693-9213-751c6cdf7d38,"Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)",SCA-BC8244BA,STATE_CHANNELIZING_AGENCY,Chandigarh,Chandigarh,552ec3bc-abe0-482a-a17c-3549f3203944,"Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)",MATCH_LEVEL_2,0.98,"Exact canonical name match: Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)"
20ff119a-fcb6-407d-9c86-25e2670438d1,Chhattisgarh Rajya Antyavasayee Sahakari Vitta Evam Vikas Nigam,SCA-CA429804,STATE_CHANNELIZING_AGENCY,Chhattisgarh,Raipur,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Chhattisgarh Rajya Antyavasayee Sahakari Vitta Evam Vikas Nigam'
ac20c956-fb25-43bc-8f1d-44decf194c8d,Dadra & Nagar Haveli SC/ST/OBC Financial & Development Corporation,SCA-3E0937B8,STATE_CHANNELIZING_AGENCY,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Dadra & Nagar Haveli SC/ST/OBC Financial & Development Corporation'
189b1288-c344-413b-9ba0-48286c277234,Delhi SC/ST/OBC/Minorities & Handicapped Financial & Development Corporation (DSFDC),SCA-4E38DBBD,STATE_CHANNELIZING_AGENCY,Delhi,North Delhi,f6391b82-17b4-43d5-a4ef-1fdbfbdfe6a4,Delhi SC/ST/OBC/Minorities & Handicapped Financial & Development Corporation (DSFDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Delhi SC/ST/OBC/Minorities & Handicapped Financial & Development Corporation (DSFDC)
aab58822-6a2a-4e27-a6c5-17db9d5d9bf1,Gujarat Backward Classes Development Corporation (GBCC),SCA-857DE02A,STATE_CHANNELIZING_AGENCY,Gujarat,Gandhinagar,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Gujarat Backward Classes Development Corporation (GBCC)'
