partner_id,partner_name,institution_type,matched_entity,match_level,confidence,reason,financial_data_attached
d269101c-5073-4fcd-b4cb-fa5f182989f7,ASA International Microfinance Ltd.,MICRO_FINANCE_INSTITUTION,ASA International India Microfinance Ltd,MATCH_LEVEL_4,0.88,Official alias match 'ASA International Microfinance Ltd.' -> ASA International India Microfinance Ltd (Source: ROC_FILING),True
be4c480d-2aea-4e4b-b48b-a06fb425c677,AU small finance bank,FINANCIAL_INSTITUTION,AU Small Finance Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: AU Small Finance Bank,True
afd49bd5-8539-4e70-9ce1-edffb55517a4,Andhra Pradesh Grameena Bank,REGIONAL_RURAL_BANK,Andhra Pradesh Grameena Vikas Bank,MATCH_LEVEL_4,0.88,Official alias match 'Andhra Pradesh Grameena Bank' -> Andhra Pradesh Grameena Vikas Bank (Source: GOVERNMENT_DIRECTORY),True
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),STATE_CHANNELIZING_AGENCY,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),MATCH_LEVEL_2,0.98,Exact canonical name match: Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),True
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh State Financial Corporation (APSFC),STATE_CHANNELIZING_AGENCY,Andhra Pradesh State Financial Corporation (APSFC),MATCH_LEVEL_2,0.98,Exact canonical name match: Andhra Pradesh State Financial Corporation (APSFC),True
ffd17427-6d9b-4b9c-aeb6-c12ef765dadc,Anik Financial Services Private Limited,MICRO_FINANCE_INSTITUTION,Anik Financial Services Pvt Ltd,MATCH_LEVEL_2,0.98,Exact canonical name match: Anik Financial Services Pvt Ltd,True
c50302f2-bbda-4b5c-836c-6d17002f14e3,Aryavart Bank Head Office Lucknow,RRB,Aryavart Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Aryavart Bank (Type: REGIONAL_RURAL_BANK, State: Uttar Pradesh)",True
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,REGIONAL_RURAL_BANK,Assam Gramin Vikash Bank,MATCH_LEVEL_4,0.88,Official alias match 'Assam Gramin Bank' -> Assam Gramin Vikash Bank (Source: GOVERNMENT_DIRECTORY),True
29590057-7353-4880-b74a-a985e2948dc6,Assam North Eastern Development Finance Corporation Ltd. (NEDFi),FINANCIAL_INSTITUTION,North Eastern Development Finance Corporation Ltd (NEDFi),MATCH_LEVEL_3,0.92,"Normalized name match with North Eastern Development Finance Corporation Ltd (NEDFi) (Type: STATE_CHANNELIZING_AGENCY, State: None)",True
e6764f2d-689d-45e8-b546-264c1d015b2d,Assam State Development Corporation for SCs Ltd (ASCDC),STATE_CHANNELIZING_AGENCY,Assam State Development Corporation for SCs Ltd (ASCDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Assam State Development Corporation for SCs Ltd (ASCDC),True
5c244074-8ce0-4515-b50e-135c930bd688,Bank of Baroda,PUBLIC_SECTOR_BANK,Bank of Baroda,MATCH_LEVEL_2,0.98,Exact canonical name match: Bank of Baroda,True
8d5a93b3-8557-40fc-9273-7f45ed254db0,Bank of Baroda Head Office (Baroda Bhavan),PSB,Bank of Baroda,MATCH_LEVEL_3,0.92,"Normalized name match with Bank of Baroda (Type: PUBLIC_SECTOR_BANK, State: Gujarat)",True
PARTNER-GKP-BOB-01,Bank of Baroda MSME Branch Gorakhpur,PUBLIC_SECTOR_BANK,Bank of Baroda,MATCH_LEVEL_3,0.92,"Normalized name match with Bank of Baroda (Type: PUBLIC_SECTOR_BANK, State: Uttar Pradesh)",True
38554178-24fd-4b53-bc84-a1e24d50b093,Bank of India,PUBLIC_SECTOR_BANK,Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Bank of India,True
2f0a574e-acc7-4398-8247-8687e140db53,Bank of Maharashtra Central Office Pune,PSB,Bank of Maharashtra,MATCH_LEVEL_3,0.92,"Normalized name match with Bank of Maharashtra (Type: PUBLIC_SECTOR_BANK, State: Maharashtra)",True
38a644ee-3ee3-41dd-b8d9-710f4924635e,Bank of Maharashtra No.254-260,PUBLIC_SECTOR_BANK,Bank of Maharashtra,MATCH_LEVEL_3,0.92,"Normalized name match with Bank of Maharashtra (Type: PUBLIC_SECTOR_BANK, State: None)",True
a406c3cd-bc39-4e9f-8fe0-1da29749a481,Baroda Gujarat Gramin Bank Head Office Bharuch,RRB,Baroda Gujarat Gramin Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Baroda Gujarat Gramin Bank (Type: REGIONAL_RURAL_BANK, State: Gujarat)",True
19fb0c28-2c97-4024-aca6-6e571161bc3d,Baroda U.P. Bank Head Office Gorakhpur,RRB,Baroda U.P. Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Baroda U.P. Bank (Type: REGIONAL_RURAL_BANK, State: Uttar Pradesh)",True
