partner_id,branch_name,legal_institution,institution_type,nsfdc_match,rbi_match,nabard_match,dfs_match,official_partner_match,gnpa_available,nnpa_available,overdue_available,utilization_available,profitability_available,guarantee_available,latest_reporting_period,financial_scope,match_confidence,routing_status,primary_reason
d269101c-5073-4fcd-b4cb-fa5f182989f7,ASA International Microfinance Ltd.,ASA International India Microfinance Ltd,NBFC_MFI,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_4,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Officially authorized implementing partner (ASA International India Microfinance Ltd). Detailed partner-level financial ledger not publicly available.
be4c480d-2aea-4e4b-b48b-a06fb425c677,AU small finance bank,AU Small Finance Bank,SMALL_FINANCE_BANK,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Officially authorized implementing partner (AU Small Finance Bank). Detailed partner-level financial ledger not publicly available.
afd49bd5-8539-4e70-9ce1-edffb55517a4,Andhra Pradesh Grameena Bank,Andhra Pradesh Grameena Vikas Bank,REGIONAL_RURAL_BANK,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_4,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
5e2320dc-c748-45c4-a96a-65de1b4fac5a,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd (APSCCFC),STATE_CHANNELIZING_AGENCY,True,False,False,False,True,False,False,False,False,False,True,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Statutory State Government Corporation with verified guarantee. Partner-level live fund utilization and overdue status are not publicly verified.
67f7f12b-bd81-4bb5-9622-0eb33b3d4728,Andhra Pradesh State Financial Corporation (APSFC),Andhra Pradesh State Financial Corporation (APSFC),STATE_CHANNELIZING_AGENCY,True,False,False,False,True,False,False,False,False,False,True,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Statutory State Government Corporation with verified guarantee. Partner-level live fund utilization and overdue status are not publicly verified.
ffd17427-6d9b-4b9c-aeb6-c12ef765dadc,Anik Financial Services Private Limited,Anik Financial Services Pvt Ltd,NBFC_MFI,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Officially authorized implementing partner (Anik Financial Services Pvt Ltd). Detailed partner-level financial ledger not publicly available.
c50302f2-bbda-4b5c-836c-6d17002f14e3,Aryavart Bank Head Office Lucknow,Aryavart Bank,REGIONAL_RURAL_BANK,True,False,True,True,True,True,True,False,False,True,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
6f013d2e-1fe3-44e9-ae93-085861469e37,Assam Gramin Bank,Assam Gramin Vikash Bank,REGIONAL_RURAL_BANK,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_4,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
29590057-7353-4880-b74a-a985e2948dc6,Assam North Eastern Development Finance Corporation Ltd. (NEDFi),North Eastern Development Finance Corporation Ltd (NEDFi),STATE_CHANNELIZING_AGENCY,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Statutory State Government Corporation with verified guarantee. Partner-level live fund utilization and overdue status are not publicly verified.
e6764f2d-689d-45e8-b546-264c1d015b2d,Assam State Development Corporation for SCs Ltd (ASCDC),Assam State Development Corporation for SCs Ltd (ASCDC),STATE_CHANNELIZING_AGENCY,True,False,False,False,True,False,False,False,False,False,True,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Statutory State Government Corporation with verified guarantee. Partner-level live fund utilization and overdue status are not publicly verified.
5c244074-8ce0-4515-b50e-135c930bd688,Bank of Baroda,Bank of Baroda,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
8d5a93b3-8557-40fc-9273-7f45ed254db0,Bank of Baroda Head Office (Baroda Bhavan),Bank of Baroda,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
PARTNER-GKP-BOB-01,Bank of Baroda MSME Branch Gorakhpur,Bank of Baroda,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
38554178-24fd-4b53-bc84-a1e24d50b093,Bank of India,Bank of India,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
2f0a574e-acc7-4398-8247-8687e140db53,Bank of Maharashtra Central Office Pune,Bank of Maharashtra,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
38a644ee-3ee3-41dd-b8d9-710f4924635e,Bank of Maharashtra No.254-260,Bank of Maharashtra,PUBLIC_SECTOR_BANK,True,True,False,False,True,True,True,False,False,False,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Public Sector Bank governed by RBI Prompt Corrective Action framework. Partner-level live fund utilization and overdue status are not publicly verified.
a406c3cd-bc39-4e9f-8fe0-1da29749a481,Baroda Gujarat Gramin Bank Head Office Bharuch,Baroda Gujarat Gramin Bank,REGIONAL_RURAL_BANK,True,False,True,True,True,True,True,False,False,True,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
19fb0c28-2c97-4024-aca6-6e571161bc3d,Baroda U.P. Bank Head Office Gorakhpur,Baroda U.P. Bank,REGIONAL_RURAL_BANK,True,False,True,True,True,True,True,False,False,True,False,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_3,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
176c9127-6440-40f2-9461-57d84448e38f,Bihar Gramin Bank,Bihar Gramin Bank,REGIONAL_RURAL_BANK,True,False,False,False,True,False,False,False,False,False,False,2024-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Verified Net NPA satisfies applicable criteria. Live cumulative utilization and overdue status are managed internally in Ministry MIS.
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),STATE_CHANNELIZING_AGENCY,True,False,False,False,True,False,False,False,False,False,True,2025-03-31,INSTITUTION_LEVEL,MATCH_LEVEL_2,ROUTABLE_WITH_FINANCIAL_DATA_LIMITATION,Statutory State Government Corporation with verified guarantee. Partner-level live fund utilization and overdue status are not publicly verified.
