scheme_id,field,old_value,new_value,reason,source_url,source_document,source_page,verification_status
SIH26092-001,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmegp.msme.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-001,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmegp.msme.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-001,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmegp.msme.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-001,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmegp.msme.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-002,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-002,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-002,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-002,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-003,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://financialservices.gov.in/stand-india-scheme-supi,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-003,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://financialservices.gov.in/stand-india-scheme-supi,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
