document_id,scheme_id,document_name,requirement_type,condition,applicant_type,source_document,source_page,source_section,active
DOC-0001,SIH26092-052,Valid Scheduled Caste certificate,REQUIRED,NSFDC credit-scheme application,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0002,SIH26092-052,Income proof,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0003,SIH26092-052,KYC documents,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0004,SIH26092-052,Agency-specific checklist documents,PARTNER_VERIFICATION,As required by the authorised SCA/CA,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0005,SIH26092-053,Valid Scheduled Caste certificate,REQUIRED,NSFDC credit-scheme application,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0006,SIH26092-053,Income proof,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0007,SIH26092-053,KYC documents,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0008,SIH26092-053,Agency-specific checklist documents,PARTNER_VERIFICATION,As required by the authorised SCA/CA,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0009,SIH26092-054,Valid Scheduled Caste certificate,REQUIRED,NSFDC credit-scheme application,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0010,SIH26092-054,Income proof,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0011,SIH26092-054,KYC documents,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0012,SIH26092-054,Agency-specific checklist documents,PARTNER_VERIFICATION,As required by the authorised SCA/CA,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0013,SIH26092-055,Valid Scheduled Caste certificate,REQUIRED,NSFDC credit-scheme application,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0014,SIH26092-055,Income proof,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0015,SIH26092-055,KYC documents,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0016,SIH26092-055,Agency-specific checklist documents,PARTNER_VERIFICATION,As required by the authorised SCA/CA,INDIVIDUAL,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0017,SIH26092-056,Valid Scheduled Caste certificate,REQUIRED,NSFDC credit-scheme application,STUDENT,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0018,SIH26092-056,Income proof,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,STUDENT,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0019,SIH26092-056,KYC documents,CONDITIONAL,Offline application through SCA/CA; agency checklist applies,STUDENT,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-0020,SIH26092-056,Agency-specific checklist documents,PARTNER_VERIFICATION,As required by the authorised SCA/CA,STUDENT,https://nsfdc.nic.in/index.php/faqs,WEB,Offline Mode (Channelizing Agencies),TRUE
DOC-057-01,SIH26092-057,Scheduled Caste Certificate,REQUIRED,Issued by authorized revenue authority,,NSFDC MSY Guidelines,1,Eligibility,True
DOC-057-02,SIH26092-057,Income Certificate,REQUIRED,"Annual family income <= ₹3,00,000",,NSFDC MSY Guidelines,1,Income Criteria,True
DOC-057-03,SIH26092-057,Aadhaar Card / Identity Proof,REQUIRED,Valid government photo identity,,NSFDC MSY Guidelines,2,KYC,True
DOC-057-04,SIH26092-057,Self-Help Group Resolution (if applying via SHG),CONDITIONAL,Required only for group micro-credit,,NSFDC MSY Guidelines,2,SHG Criteria,True
DOC-058-01,SIH26092-058,Scheduled Caste Certificate,REQUIRED,Issued by competent revenue authority,,NSFDC GBS Policy Guidelines,1,Eligibility,True
DOC-058-02,SIH26092-058,Income Certificate,REQUIRED,"Annual family income <= ₹3,00,000",,NSFDC GBS Policy Guidelines,1,Income Criteria,True
DOC-058-03,SIH26092-058,Detailed Project Report (DPR) / Unit Quotation,REQUIRED,Quotation for green vehicle / solar unit / polyhouse,,NSFDC GBS Policy Guidelines,3,Technical DPR,True
DOC-059-01,SIH26092-059,Scheduled Tribe Certificate,REQUIRED,Issued by competent revenue authority,,NSTFDC ASRY Guidelines,1,Eligibility,True
DOC-059-02,SIH26092-059,Admission Letter / Proof of Enrollment,REQUIRED,Recognized professional / technical college admission proof,,NSTFDC ASRY Guidelines,2,Admission Proof,True
DOC-059-03,SIH26092-059,Course Fee Structure Breakup,REQUIRED,Certified fee schedule from educational institution,,NSTFDC ASRY Guidelines,2,Financials,True
DOC-060-01,SIH26092-060,Caste Certificate of SC Promoters (>51% shareholding),REQUIRED,Proof of SC ownership shareholding,,CEGSSC Guidelines,2,Shareholding,True
DOC-060-02,SIH26092-060,Business Registration Certificate (Udyam / ROC),REQUIRED,Valid enterprise registration,,CEGSSC Guidelines,3,Entity Proof,True
DOC-060-03,SIH26092-060,Bank Loan Sanction Letter from Member Lending Institution,REQUIRED,Sanction letter for loan > ₹15 Lakh,,CEGSSC Guidelines,4,MLI Sanction,True
DOC-063-01,SIH26092-063,Scheduled Caste Certificate,REQUIRED,Issued by authorized revenue authority,,NSFDC MKY Circular,1,Eligibility,True
DOC-063-02,SIH26092-063,Land Record / Agricultural Activity Proof,CONDITIONAL,7/12 extract or livestock ownership certificate,,NSFDC MKY Circular,1,Agri Proof,True
DOC-064-01,SIH26092-064,OBC Certificate / Backward Class Proof,REQUIRED,Issued by authorized state revenue authority,,NBCFDC Shilp Sampada Guidelines,1,Eligibility,True
DOC-064-02,SIH26092-064,Artisan / Weaver Identity Card (or Skill Proof),REQUIRED,Pehchan card / DIC certificate / Trade proof,,NBCFDC Shilp Sampada Guidelines,2,Artisan Proof,True
DOC-064-03,SIH26092-064,Income Certificate,REQUIRED,"Annual family income <= ₹3,00,000",,NBCFDC Shilp Sampada Guidelines,1,Income Criteria,True
DOC-065-01,SIH26092-065,Aadhaar Card,MANDATORY,Identity & DBT verification,,PM-YASASVI Guidelines,,,True
DOC-065-02,SIH26092-065,OBC / EBC / DNT Caste Certificate,MANDATORY,Competent authority issued certificate,,PM-YASASVI Guidelines,,,True
DOC-065-03,SIH26092-065,Income Certificate (<= ₹2.50 Lakh),MANDATORY,Issued by Tehsildar / SDO,,PM-YASASVI Guidelines,,,True
DOC-065-04,SIH26092-065,School / College Bonafide Certificate & Fee Receipt,MANDATORY,Issued by head of institution,,PM-YASASVI Guidelines,,,True
DOC-066-01,SIH26092-066,Aadhaar Card,MANDATORY,Student identity verification,,SHRESHTA Guidelines,,,True
DOC-066-02,SIH26092-066,SC Caste Certificate,MANDATORY,In the name of the student or father,,SHRESHTA Guidelines,,,True
DOC-066-03,SIH26092-066,Income Certificate (<= ₹2.50 Lakh),MANDATORY,Valid parental income certificate,,SHRESHTA Guidelines,,,True
DOC-066-04,SIH26092-066,NETS Admit Card & Score Card,MANDATORY,Proof of entrance test qualification,,SHRESHTA Guidelines,,,True
DOC-067-01,SIH26092-067,Aadhaar Card,MANDATORY,Identity and address proof,,NMDFC Virasat Guidelines,,,True
DOC-067-02,SIH26092-067,Minority Community Certificate / Self-Declaration,MANDATORY,Proof of notified minority status,,NMDFC Virasat Guidelines,,,True
DOC-067-03,SIH26092-067,Artisan / Pehchan Card or Proof of Trade,MANDATORY,Issued by DC Handloom / Handicrafts or SCA,,NMDFC Virasat Guidelines,,,True
DOC-068-01,SIH26092-068,Unique Disability ID (UDID) / Disability Certificate,MANDATORY,Proof of 40% or more disability,,NDFDC DSY Guidelines,,,True
DOC-068-02,SIH26092-068,Aadhaar Card,MANDATORY,Identity and address proof,,NDFDC DSY Guidelines,,,True
DOC-068-03,SIH26092-068,Project Proposal / Business Plan,MANDATORY,Details of self-employment activity,,NDFDC DSY Guidelines,,,True
DOC-069-01,SIH26092-069,Aadhaar Card,MANDATORY,Biometric attendance integration,,SAMARTH Guidelines,,,True
DOC-069-02,SIH26092-069,Educational Qualification Certificate,OPTIONAL,As per NSQF course prerequisite,,SAMARTH Guidelines,,,True
DOC-070-01,SIH26092-070,Detailed Project Report (DPR),MANDATORY,Comprehensive infrastructure and financial model,,AHIDF Guidelines,,,True
DOC-070-02,SIH26092-070,Udyam Registration Certificate / Business Registration,MANDATORY,Proof of enterprise existence,,AHIDF Guidelines,,,True
DOC-071-01,SIH26092-071,Udyam Registration Certificate,MANDATORY,Active MSE registration,,SCLCSS Guidelines,,,True
DOC-071-02,SIH26092-071,SC / ST Caste Certificate of Proprietor/Promoters,MANDATORY,Minimum 51% shareholding proof,,SCLCSS Guidelines,,,True
DOC-071-03,SIH26092-071,Bank Term Loan Sanction Letter,MANDATORY,From eligible lending bank,,SCLCSS Guidelines,,,True
DOC-072-01,SIH26092-072,Aadhaar Card,MANDATORY,Identity verification,,NSKFDC Sanitary Mart Guidelines,,,True
DOC-072-02,SIH26092-072,Safai Karamchari / Manual Scavenger Certificate or ID,MANDATORY,Issued by Municipal Corporation / Local Body / SCA,,NSKFDC Sanitary Mart Guidelines,,,True
DOC-073-01,SIH26092-073,Aadhaar Card,MANDATORY,Identity proof,,NBCFDC Krishi Sampada Guidelines,,,True
DOC-073-02,SIH26092-073,OBC Caste Certificate,MANDATORY,Competent authority issued,,NBCFDC Krishi Sampada Guidelines,,,True
DOC-073-03,SIH26092-073,Land Records / Farmer ID / Vending Proof,MANDATORY,Proof of agricultural or vending activity,,NBCFDC Krishi Sampada Guidelines,,,True
DOC-074-01,SIH26092-074,Aadhaar Card / Ration Card,MANDATORY,Household identity verification,,PM-JANMAN Guidelines,,,True
DOC-074-02,SIH26092-074,ST / PVTG Certificate / Village Survey Listing,MANDATORY,Inclusion in official PVTG baseline survey,,PM-JANMAN Guidelines,,,True
DOC-075-01,SIH26092-075,Aadhaar Card,MANDATORY,Primary identity and address proof for e-KYC,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-075-02,SIH26092-075,Passport Sized Photographs,MANDATORY,2 recent color photographs for account opening form,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
