rule_id,scheme_id,parent_product_id,field,operator,value,value_type,rule_type,priority,condition_group,error_message,source_document,source_page,source_section,effective_from,effective_to,active
RULE-0001,SIH26092-001,NOT_APPLICABLE,new_unit_required,=,TRUE,BOOLEAN,ELIGIBILITY,HIGH,BASE,PMEGP assistance is only for new projects sanctioned under PMEGP,https://pmegp.msme.gov.in/Home/Notifications,WEB,Notification search result,UNKNOWN,UNKNOWN,TRUE
RULE-0002,SIH26092-005,NOT_APPLICABLE,activity_type,IN,TRADITIONAL_TRADE_18,ENUM,ELIGIBILITY,HIGH,BASE,Applicant must be engaged in a listed PM Vishwakarma trade,https://pmvishwakarma.gov.in/Home/FAQ,WEB,Eligibility,UNKNOWN,UNKNOWN,TRUE
RULE-0003,SIH26092-005,NOT_APPLICABLE,collateral_required,=,FALSE,BOOLEAN,FINANCIAL,HIGH,BASE,Scheme provides collateral-free credit,https://pmvishwakarma.gov.in/Home/FAQ,WEB,Scheme overview,UNKNOWN,UNKNOWN,TRUE
RULE-0004,SIH26092-015,NOT_APPLICABLE,social_category,IN,BACKWARD_CLASS,ENUM,ELIGIBILITY,HIGH,BASE,Applicant must be a notified Backward Class member,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Eligibility,UNKNOWN,UNKNOWN,TRUE
RULE-0005,SIH26092-015,NOT_APPLICABLE,income_limit,<=,500000,INR_PER_YEAR,ELIGIBILITY,HIGH,BASE,Annual family income exceeds NBCFDC limit,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Eligibility,UNKNOWN,UNKNOWN,TRUE
RULE-0006,SIH26092-015,NOT_APPLICABLE,max_loan_amount,<=,2500000,INR,FINANCIAL,HIGH,BASE,Loan exceeds individual scheme maximum,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Salient Features,UNKNOWN,UNKNOWN,TRUE
RULE-0007,SIH26092-015,NOT_APPLICABLE,financing_percentage,=,85,PERCENT,FINANCIAL,HIGH,BASE,NBCFDC financing share is 85 percent,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Pattern of Finance,UNKNOWN,UNKNOWN,TRUE
RULE-0008,SIH26092-015,NOT_APPLICABLE,beneficiary_contribution_percentage,=,15,PERCENT,FINANCIAL,HIGH,BASE,Channel Partner/beneficiary share is 15 percent,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Pattern of Finance,UNKNOWN,UNKNOWN,TRUE
RULE-0009,SIH26092-015,NOT_APPLICABLE,interest_rate_max,=,7,PERCENT_PER_ANNUM,FINANCIAL,HIGH,LOAN_LTE_125000,Beneficiary rate for loan up to INR 125000 is 7 percent,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Rate of Interest & Repayment Period,UNKNOWN,UNKNOWN,TRUE
RULE-0010,SIH26092-015,NOT_APPLICABLE,interest_rate_max,=,8,PERCENT_PER_ANNUM,FINANCIAL,HIGH,LOAN_GT_125000,Beneficiary rate for loan above INR 125000 is 8 percent,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Rate of Interest & Repayment Period,UNKNOWN,UNKNOWN,TRUE
RULE-0011,SIH26092-015,NOT_APPLICABLE,repayment_period_max_months,=,48,MONTHS,FINANCIAL,HIGH,LOAN_LTE_125000,Repayment period is four years for loan up to INR 125000,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Rate of Interest & Repayment Period,UNKNOWN,UNKNOWN,TRUE
RULE-0012,SIH26092-015,NOT_APPLICABLE,repayment_period_max_months,=,84,MONTHS,FINANCIAL,HIGH,LOAN_GT_125000,Repayment period is seven years for loan above INR 125000,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,WEB,Rate of Interest & Repayment Period,UNKNOWN,UNKNOWN,TRUE
RULE-0013,SIH26092-052,NOT_APPLICABLE,sc_required,=,TRUE,BOOLEAN,ELIGIBILITY,HIGH,BASE,Applicant must belong to Scheduled Caste community,https://nsfdc.nic.in/index.php/faqs,WEB,Community Requirement,2026-01-07,UNKNOWN,TRUE
RULE-0014,SIH26092-052,NOT_APPLICABLE,income_limit,<=,500000,INR_PER_YEAR,ELIGIBILITY,HIGH,BASE,Annual family income exceeds NSFDC loan income ceiling,https://nsfdc.nic.in/index.php/faqs,WEB,Income Ceiling,2026-01-07,UNKNOWN,TRUE
RULE-0015,SIH26092-052,NOT_APPLICABLE,application_route,IN,PM_SURAJ; AUTHORISED_SCA; AUTHORISED_CA,ENUM,APPLICATION,MEDIUM,BASE,Direct application to NSFDC is not accepted,https://nsfdc.nic.in/index.php/faqs,WEB,Application route,UNKNOWN,UNKNOWN,TRUE
RULE-0016,SIH26092-053,NOT_APPLICABLE,sc_required,=,TRUE,BOOLEAN,ELIGIBILITY,HIGH,BASE,Applicant must belong to Scheduled Caste community,https://nsfdc.nic.in/index.php/faqs,WEB,Community Requirement,2026-01-07,UNKNOWN,TRUE
RULE-0017,SIH26092-053,NOT_APPLICABLE,income_limit,<=,500000,INR_PER_YEAR,ELIGIBILITY,HIGH,BASE,Annual family income exceeds NSFDC loan income ceiling,https://nsfdc.nic.in/index.php/faqs,WEB,Income Ceiling,2026-01-07,UNKNOWN,TRUE
RULE-0018,SIH26092-053,NOT_APPLICABLE,application_route,IN,PM_SURAJ; AUTHORISED_SCA; AUTHORISED_CA,ENUM,APPLICATION,MEDIUM,BASE,Direct application to NSFDC is not accepted,https://nsfdc.nic.in/index.php/faqs,WEB,Application route,UNKNOWN,UNKNOWN,TRUE
RULE-0019,SIH26092-054,NOT_APPLICABLE,sc_required,=,TRUE,BOOLEAN,ELIGIBILITY,HIGH,BASE,Applicant must belong to Scheduled Caste community,https://nsfdc.nic.in/index.php/faqs,WEB,Community Requirement,2026-01-07,UNKNOWN,TRUE
RULE-0020,SIH26092-054,NOT_APPLICABLE,income_limit,<=,500000,INR_PER_YEAR,ELIGIBILITY,HIGH,BASE,Annual family income exceeds NSFDC loan income ceiling,https://nsfdc.nic.in/index.php/faqs,WEB,Income Ceiling,2026-01-07,UNKNOWN,TRUE
RULE-0021,SIH26092-054,NOT_APPLICABLE,application_route,IN,PM_SURAJ; AUTHORISED_SCA; AUTHORISED_CA,ENUM,APPLICATION,MEDIUM,BASE,Direct application to NSFDC is not accepted,https://nsfdc.nic.in/index.php/faqs,WEB,Application route,UNKNOWN,UNKNOWN,TRUE
RULE-0022,SIH26092-055,NOT_APPLICABLE,sc_required,=,TRUE,BOOLEAN,ELIGIBILITY,HIGH,BASE,Applicant must belong to Scheduled Caste community,https://nsfdc.nic.in/index.php/faqs,WEB,Community Requirement,2026-01-07,UNKNOWN,TRUE
RULE-0023,SIH26092-055,NOT_APPLICABLE,income_limit,<=,500000,INR_PER_YEAR,ELIGIBILITY,HIGH,BASE,Annual family income exceeds NSFDC loan income ceiling,https://nsfdc.nic.in/index.php/faqs,WEB,Income Ceiling,2026-01-07,UNKNOWN,TRUE
RULE-0024,SIH26092-055,NOT_APPLICABLE,application_route,IN,PM_SURAJ; AUTHORISED_SCA; AUTHORISED_CA,ENUM,APPLICATION,MEDIUM,BASE,Direct application to NSFDC is not accepted,https://nsfdc.nic.in/index.php/faqs,WEB,Application route,UNKNOWN,UNKNOWN,TRUE
