scheme_id,scheme_name,verification_status,source_count,critical_fields_verified,critical_fields_missing,conflicts_found,notes
SIH26092-001,Prime Minister Employment Generation Programme (PMEGP),PARTIALLY_VERIFIED,1,new_business_allowed,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Financial fields remain UNKNOWN pending current guideline-table extraction.
SIH26092-002,Pradhan Mantri MUDRA Yojana (PMMY),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-003,Stand-Up India,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-004,PM SVANidhi,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-005,PM Vishwakarma,PARTIALLY_VERIFIED,1,activity_type; collateral_required; application_mode; application_url,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months,NONE,Official FAQ verifies 18 trades and support categories; loan limits/rates remain UNKNOWN until guideline table is cited.
SIH26092-006,PM Formalisation of Micro Food Processing Enterprises (PMFME),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-007,National Livestock Mission – Entrepreneurship Development Programme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-008,PM-DAKSH,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-009,Scheme for Economic Empowerment of DNTs (SEED),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-010,PM-AJAY – Income Generating and Livelihood Projects,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-011,NMDFC Term Loan Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,Credit Line-1 and Credit Line-2 were combined in legacy record; no arbitrary resolution made.,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-012,NSTFDC Term Loan Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,Legacy record applied an income value from a different NSTFDC document; reset to UNKNOWN.,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-013,NSTFDC – Adivasi Mahila Sashaktikaran Yojana (AMSY),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-014,NSTFDC – Micro Credit Scheme for SHGs,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-015,NBCFDC Individual Term Loan Scheme,VERIFIED,1,sc_required; target_groups; income_limit; sector; activity_type; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; interest_rate_min; interest_rate_max; repayment_period_max_months; application_mode,gender_condition; age_min; age_max; state_restriction; new_business_allowed; existing_business_allowed; max_project_cost; subsidy_percentage; grant_amount; repayment_frequency; moratorium_max_months; collateral_required; application_url,NONE,Interest/repayment are loan-slab dependent; deterministic engine must apply scheme_rules.
SIH26092-016,NBCFDC New Swarnima for Women,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-017,NBCFDC Loan for Artisans and Traditional Occupations,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-018,DAY-NRLM – Start-up Village Entrepreneurship Programme (SVEP),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-019,Startup India Seed Fund Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-020,Credit Guarantee Scheme for Startups (CGSS),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-021,Concessional Credit/Weaver MUDRA Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,Individual and organisation terms differ; no single financial record retained.,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-022,National Handloom Development Programme (NHDP),PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-023,SFURTI,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-024,ASPIRE,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-025,PMMSY – Entrepreneur Model,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,Subsidy is component/category/activity dependent; no single rate retained.,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-026,PMMKSSY,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,Umbrella/sub-scheme benefits are component dependent.,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-027,NSKFDC Swachhta Udyami Yojana – sanitation equipment/vehicles,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-028,NSKFDC General Term Loan,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-029,NSKFDC Micro Credit Finance,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-030,NSKFDC Mahila Samriddhi Yojana,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-031,NDFDC Micro Financing Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-032,NDFDC Self-Employment Loan,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-033,DAY-NULM SEP – Individual,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-034,DAY-NULM SEP – Group,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-035,DAY-NRLM Revolving Fund,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-036,DAY-NRLM Community Investment Fund,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-037,Agriculture Infrastructure Fund,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
