scheme_id,scheme_name,source_url,status,redirect_url,last_checked,verification_status
SIH26092-001,Prime Minister Employment Generation Programme (PMEGP),https://msme.gov.in/programmes-schemes/prime-ministers-employment-generation-programme-pmegp,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-002,Pradhan Mantri MUDRA Yojana (PMMY),https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-003,Stand-Up India,https://www.standupmitra.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-004,PM SVANidhi,https://pmsvanidhi.mohua.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-005,PM Vishwakarma,https://pmvishwakarma.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-006,PM Formalisation of Micro food processing Enterprises (PMFME),https://pmfme.mofpi.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-007,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),https://www.myscheme.gov.in/schemes/cgssd,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-008,PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),https://pmdaksh.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-009,MSME Champions Scheme,https://www.myscheme.gov.in/schemes/msme-sri,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-010,MSME Sustainable (ZED) Certification Scheme,https://www.cgtmse.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-011,Credit Guarantee Scheme for Subordinate Debt (CGSSD),https://msme.gov.in/programmes-schemes/credit-linked-capital-subsidy-scheme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-012,NSTFDC Term Loan Scheme,https://msme.gov.in/programmes-schemes/interest-subvention-scheme-incremental-credit-msmes,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-013,NSTFDC – Adivasi Mahila Sashaktikaran Yojana (AMSY),https://www.myscheme.gov.in/schemes/2is-sc-st,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-014,NSTFDC – Micro Credit Scheme for SHGs,https://msme.gov.in/programmes-schemes/micro-and-small-enterprises-cluster-development-programme-mse-cdp,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-015,NBCFDC Individual Term Loan Scheme,https://texmin.nic.in/schemes/amended-technology-upgradation-fund-scheme-atufs,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-016,NBCFDC New Swarnima for Women,https://texmin.nic.in/schemes/national-handloom-development-programme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
