scheme_id,scheme_name,known_fields,not_applicable_fields,not_specified_fields,conditional_fields,source_conflicts,official_source,last_verified,completeness_percentage
SIH26092-001,Prime Minister Employment Generation Programme (PMEGP),26,0,6,0,0,https://msme.gov.in/programmes-schemes/prime-ministers-employment-generation-programme-pmegp,2026-09-01,81.2
SIH26092-002,Pradhan Mantri MUDRA Yojana (PMMY),25,0,7,0,0,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,2026-09-01,78.1
SIH26092-003,Stand-Up India,25,0,7,0,0,https://www.standupmitra.in/,2026-09-01,78.1
SIH26092-004,PM SVANidhi,28,0,4,0,0,https://pmsvanidhi.mohua.gov.in/,2026-09-01,87.5
SIH26092-005,PM Vishwakarma,29,0,3,0,0,https://pmvishwakarma.gov.in/,2026-09-01,90.6
SIH26092-006,PM Formalisation of Micro food processing Enterprises (PMFME),25,0,7,0,0,https://pmfme.mofpi.gov.in/,2026-09-01,78.1
SIH26092-007,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),22,6,4,0,0,https://www.myscheme.gov.in/schemes/cgssd,2026-09-01,84.6
SIH26092-008,PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),21,6,5,0,0,https://pmdaksh.dosje.gov.in/,2026-09-01,80.8
SIH26092-009,MSME Champions Scheme,22,6,4,0,0,https://www.myscheme.gov.in/schemes/msme-sri,2026-09-01,84.6
SIH26092-010,MSME Sustainable (ZED) Certification Scheme,22,6,4,0,0,https://www.cgtmse.in/,2026-09-01,84.6
SIH26092-011,Credit Guarantee Scheme for Subordinate Debt (CGSSD),24,0,8,0,0,https://msme.gov.in/programmes-schemes/credit-linked-capital-subsidy-scheme,2026-09-01,75.0
SIH26092-012,NSTFDC Term Loan Scheme,27,0,5,0,0,https://msme.gov.in/programmes-schemes/interest-subvention-scheme-incremental-credit-msmes,2026-09-01,84.4
SIH26092-013,NSTFDC – Adivasi Mahila Sashaktikaran Yojana (AMSY),28,0,4,0,0,https://www.myscheme.gov.in/schemes/2is-sc-st,2026-09-01,87.5
SIH26092-014,NSTFDC – Micro Credit Scheme for SHGs,27,0,5,0,0,https://msme.gov.in/programmes-schemes/micro-and-small-enterprises-cluster-development-programme-mse-cdp,2026-09-01,84.4
SIH26092-015,NBCFDC Individual Term Loan Scheme,27,0,5,1,0,https://texmin.nic.in/schemes/amended-technology-upgradation-fund-scheme-atufs,2026-09-01,84.4
SIH26092-016,NBCFDC New Swarnima for Women,28,0,4,0,0,https://texmin.nic.in/schemes/national-handloom-development-programme,2026-09-01,87.5
SIH26092-017,NBCFDC Loan for Artisans and Traditional Occupations,27,0,5,0,0,https://texmin.nic.in/schemes/comprehensive-handicrafts-cluster-development-scheme,2026-09-01,84.4
SIH26092-018,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),28,0,4,0,0,https://nrlm.gov.in/,2026-09-01,87.5
SIH26092-019,Startup India Seed Fund Scheme (SISFS),25,0,7,0,0,https://www.startupindia.gov.in/content/sih/en/fund-of-funds-for-startups.html,2026-09-01,78.1
SIH26092-020,Credit Guarantee Scheme for Startups (CGSS),21,6,5,0,0,https://www.startupindia.gov.in/content/sih/en/startup-india-seed-fund-scheme.html,2026-09-01,80.8
SIH26092-021,Concessional Credit/Weaver MUDRA Scheme,21,6,5,0,0,https://texmin.nic.in/schemes/weaver-mudra-scheme,2026-09-01,80.8
SIH26092-022,National Handloom Development Programme (NHDP),22,6,4,0,0,https://texmin.nic.in/schemes/national-handloom-development-programme,2026-09-01,84.6
SIH26092-023,SFURTI,22,6,4,0,0,https://sfurti.msme.gov.in/,2026-09-01,84.6
SIH26092-024,ASPIRE,22,6,4,0,0,https://aspire.msme.gov.in/,2026-09-01,84.6
SIH26092-025,Pradhan Mantri Matsya Sampada Yojana (PMMSY),22,6,4,0,0,https://pmmsy.dof.gov.in/,2026-09-01,84.6
SIH26092-026,PMMKSSY,27,0,5,0,0,https://pmmsy.dof.gov.in/pmmkssy,2026-09-01,84.4
SIH26092-027,NSKFDC Swachhta Udyami Yojana – sanitation equipment/vehicles,22,6,4,0,0,https://nskfdc.nic.in/en/swachhta-udyami-yojana,2026-09-01,84.6
SIH26092-028,NSKFDC General Term Loan,22,6,4,0,0,https://nskfdc.nic.in/en/general-term-loan,2026-09-01,84.6
SIH26092-029,NSKFDC Micro Credit Finance,22,6,4,0,0,https://nskfdc.nic.in/en/micro-credit-finance,2026-09-01,84.6
SIH26092-030,NSKFDC Mahila Samriddhi Yojana,23,6,3,0,0,https://nskfdc.nic.in/en/mahila-samriddhi-yojana,2026-09-01,88.5
SIH26092-031,NDFDC Micro Financing Scheme,22,6,4,0,0,https://ndfdc.nic.in/micro-financing-scheme,2026-09-01,84.6
SIH26092-032,NDFDC Self-Employment Loan,22,6,4,0,0,https://ndfdc.nic.in/self-employment-loan,2026-09-01,84.6
SIH26092-033,DAY-NULM SEP – Individual,22,6,4,0,0,https://nulm.gov.in/SEP_Individual,2026-09-01,84.6
SIH26092-034,DAY-NULM SEP – Group,21,6,5,0,0,https://nulm.gov.in/SEP_Group,2026-09-01,80.8
SIH26092-035,DAY-NRLM Revolving Fund,23,6,3,0,0,https://nrlm.gov.in/revolving_fund,2026-09-01,88.5
SIH26092-036,DAY-NRLM Community Investment Fund,23,6,3,0,0,https://nrlm.gov.in/community_investment_fund,2026-09-01,88.5
SIH26092-037,Agriculture Infrastructure Fund (AIF),28,0,4,0,0,https://agriinfra.dac.gov.in/,2026-09-01,87.5
SIH26092-038,Kisan Credit Card – Fisheries Working Capital,27,0,5,0,0,https://dof.gov.in/kcc-fisheries,2026-09-01,84.4
SIH26092-039,PMKSY – Integrated Cold Chain,24,0,8,0,0,https://mofpi.gov.in/schemes/pradhan-mantri-kisan-sampada-yojana,2026-09-01,75.0
SIH26092-040,PMKSY – Agro-Processing Cluster,21,6,5,0,0,https://mofpi.gov.in/schemes/pradhan-mantri-kisan-sampada-yojana,2026-09-01,80.8
SIH26092-041,Coir Udyami Yojana,22,6,4,0,0,https://coirboard.gov.in/?page_id=221,2026-09-01,84.6
SIH26092-042,Mahila Coir Yojana,23,6,3,0,0,https://coirboard.gov.in/?page_id=223,2026-09-01,88.5
SIH26092-043,TREAD for Women,23,6,3,0,0,https://msme.gov.in/programmes-schemes/trade-related-entrepreneurship-assistance-and-development-tread-scheme-women,2026-09-01,88.5
SIH26092-044,Procurement and Marketing Support Scheme,22,6,4,0,0,https://msme.gov.in/programmes-schemes/procurement-and-marketing-support-pms-scheme,2026-09-01,84.6
SIH26092-045,NSIC Raw Material Assistance,22,6,4,0,0,https://www.nsic.co.in/Schemes/Raw-Material-Assistance.aspx,2026-09-01,84.6
SIH26092-046,MSME Innovative – Incubation,23,6,3,0,0,https://innovative.msme.gov.in/Incubation,2026-09-01,88.5
SIH26092-047,MSME Innovative – Design,23,6,3,0,0,https://innovative.msme.gov.in/Design,2026-09-01,88.5
SIH26092-048,MSME Innovative – IPR Facilitation,22,6,4,0,0,https://innovative.msme.gov.in/IPR,2026-09-01,84.6
